,Date,ID,ndc
0,00001' eit,MSU00001,2
1,00002' eit,MSU00002,2
2,00003' eit,MSU00003,2
3,00004' eit,MSU00004,2
4,00005' eit,MSU00005,2
5,00006' eit,MSU00006,2
6,00007' eit,MSU00007,2
7,00008' eit,MSU00008,2
8,00009' eit,MSU00009,2
9,00010' eit,MSU00010,2
10,00011' eit,MSU00011,2
11,00012' eit,MSU00012,2
12,00013' eit,MSU00013,1
13,00014' eit,MSU00014,1
14,00015' eit,MSU00015,1
15,00016' eit,MSU00016,1
16,00017' eit,MSU00017,1
17,00018' eit,MSU00018,1
18,00019' eit,MSU00019,1
19,00020' eit,MSU00020,1
20,00021' eit,MSU00021,1
21,00022' eit,MSU00022,1
22,00023' eit,MSU00023,1
23,00024' eit,MSU00024,1
24,00025' eit,MSU00025,1
25,00026' eit,MSU00026,1
26,00027' eit,MSU00027,1
27,00028' eit,MSU00028,1
28,00029' eit,MSU00029,1
29,00030' eit,MSU00030,1
30,00031' eit,MSU00031,1
31,00032' eit,MSU00032,1
32,00033' eit,MSU00033,1
33,00034' eit,MSU00034,1
34,00035' eit,MSU00035,1
35,00036' eit,MSU00036,1
36,00037' eit,MSU00037,1
37,00038' eit,MSU00038,1
38,00039' eit,MSU00039,1
39,00040' eit,MSU00040,1
40,00041' eit,MSU00041,1
41,00042' eit,MSU00042,1
42,00043' eit,MSU00043,1
43,00044' eit,MSU00044,1
44,00045' eit,MSU00045,1
45,00046' eit,MSU00046,1
46,00047' eit,MSU00047,1
47,00048' eit,MSU00048,1
48,03250' eit,MSU03250,1
49,16438' eit,MSU16438,1
50,16845' eit,MSU16845,1
51,17033' eit,MSU17033,1
52,17567' eit,MSU17567,1
53,17779' eit,MSU17779,1
54,18368' eit,MSU18368,1
55,2020-07-31,MSU00605,1
56,2020-07-31,MSU00526,25
57,2020-07-31,MSU00636,25
58,2020-07-31,MSU00626,25
59,2020-09-04,MSU00772,26
60,2020-09-04,MSU00715,1
61,2020-09-04,MSU00687,1
62,2021-02-26,MSU02630,1
63,2021-02-26,MSU01774,26
64,2021-04-16,MSU03198,26
65,2021-04-16,MSU03276,26
66,2021-04-23,MSU02953,26
67,2021-04-23,MSU03127,1
68,2021-04-23,MSU03044,27
69,2021-04-23,MSU03264,1
70,2021-04-23,MSU03129,27
71,2021-05-10,MSU04242,1
72,2021-05-10,MSU04201,1
73,2021-05-10,MSU04190,1
74,2021-05-10,MSU04204,1
75,2021-05-14,MSU02889,1
76,2021-05-21,MSU03852,1
77,2021-06-25,MSU05202,1
78,2021-07-08,MSU05684,1
79,2021-07-15,MSU05811,1
80,2021-07-15,MSU05630,1
81,2021-07-15,MSU05614,1
82,2021-07-15,MSU05846,1
