,tubeID,End,Received,leakrate,bend,flagE,T1Date,Length,Frequency,Tension,flag,L,dFrequency,dTension,dDays,flag2,DCday,sys,DC,HVseconds,DCflag,ENDday,done?,ok,Comment
6607,MSU07216,IHEP,2022-10-25,0.00E+00,0.00,PASS,22-12-21,1624.79,95.0,362.971,pass,C,0.30,-2.526,56D,Pass2,22-11-10,CAEN,-0.33,351561,OK,22/12/21,3,OK,UM BIS5C14 
6608,MSU07217,IHEP,2022-10-25,0.00E+00,0.00,PASS,22-11-17,1624.55,93.0,347.849,pass,B,-1.70,12.380,23D,Pass2,22-11-11,CAEN,0.48,353119,OK,22/11/17,4,OK,UM BIS5C14 
6609,MSU07218,IHEP,2022-10-31,0.00E+00,0.00,PASS,22-11-23,1624.75,95.3,365.497,pass,B,0.40,-2.612,22D,Pass2,22-11-11,CAEN,-0.24,33019,OK,22/11/23,3,OK,UM BIS5A12 
6610,MSU07219,IHEP,2022-10-31,0.00E+00,0.00,PASS,22-11-17,1624.68,95.0,362.971,pass,B,1.00,-7.682,17D,Pass2,22-11-10,CAEN,1.04,72040,OK,22/11/17,4,OK,UM BIS5A12 
6611,MSU07220,IHEP,2022-10-31,0.00E+00,0.00,PASS,22-11-23,1624.56,95.3,365.497,pass,B,0.40,-2.612,22D,Pass2,22-11-11,CAEN,-0.24,90566,OK,22/11/23,3,OK,UM BIS5A12 
6612,MSU07221,IHEP,2022-10-31,0.00E+00,0.00,PASS,22-11-17,1624.59,95.3,365.497,pass,B,0.00,0.000,17D,Pass2,22-11-11,CAEN,0.49,90552,OK,22/11/17,4,OK,UM BIS5C14 
6613,MSU07222,IHEP,2022-10-31,0.00E+00,0.00,PASS,22-11-17,1624.72,93.7,352.879,pass,B,0.30,-2.491,17D,Pass2,22-11-10,CAEN,1.12,72066,OK,22/11/17,4,OK,UM BIS5C14 
6614,MSU07223,IHEP,2022-10-31,0.00E+00,0.00,PASS,22-12-21,1624.45,94.3,357.870,pass,B,0.40,-2.584,50D,Pass2,22-11-10,CAEN,-0.81,31559,OK,22/12/21,3,OK,UM BIS5C14 
6615,MSU07224,IHEP,2022-10-31,0.00E+00,0.00,PASS,22-11-17,1624.20,94.7,360.454,pass,A,0.00,0.000,17D,Pass2,22-11-11,CAEN,0.85,90528,OK,22/11/17,4,OK,UM BIS5C14 
6616,MSU07225,IHEP,2022-10-31,0.00E+00,0.00,PASS,23-01-09,1624.76,95.3,365.497,pass,C,1.00,-7.709,69D,Pass2,22-11-09,CAEN,-0.10,14561,OK,23/01/09,1,YES,UM BIS5A16 
6617,MSU07226,IHEP,2022-10-31,0.00E+00,0.00,PASS,22-11-17,1624.37,95.0,362.971,pass,B,0.00,0.000,17D,Pass2,22-11-10,CAEN,1.60,72121,OK,22/11/17,4,OK,UM BIS5A12 
6618,MSU07227,IHEP,2022-10-31,0.00E+00,0.00,PASS,23-01-09,1624.74,95.3,365.497,pass,B,0.00,0.000,18D,Pass2,23-01-06,CAEN,-0.99,51819,OK,23/01/09,1,YES,UM BIS6C02 
6619,MSU07228,IHEP,2022-10-31,0.00E+00,0.00,PASS,22-11-23,1624.56,94.0,355.370,pass,B,0.30,-2.500,22D,Pass2,22-11-11,CAEN,0.10,32982,OK,22/11/23,3,OK,UM BIS5A12 
6620,MSU07229,IHEP,2022-10-31,0.00E+00,0.00,PASS,23-01-09,1624.73,95.7,368.109,pass,B,0.30,-2.544,69D,Pass2,22-11-09,CAEN,-0.01,14551,OK,23/01/09,1,YES,UM BIS5A16 
6621,MSU07230,IHEP,2022-10-31,0.00E+00,0.00,PASS,22-11-17,1624.52,95.3,365.497,pass,B,0.00,0.000,17D,Pass2,22-11-10,CAEN,0.31,88998,OK,22/11/17,4,OK,UM BIS5A12 
6622,MSU07231,IHEP,2022-10-31,0.00E+00,0.00,PASS,23-01-09,1624.55,95.3,365.497,pass,B,0.00,0.000,18D,Pass2,23-01-06,CAEN,0.00,51803,OK,23/01/09,1,YES,UM BIS6C02 
6623,MSU07232,IHEP,2022-10-31,0.00E+00,0.00,PASS,22-11-17,1624.66,95.3,365.497,pass,B,0.40,-2.612,17D,Pass2,22-11-10,CAEN,1.52,72069,OK,22/11/17,4,OK,UM BIS5C14 
6624,MSU07233,IHEP,2022-10-31,0.00E+00,0.00,PASS,22-12-21,1624.54,95.3,365.497,pass,B,0.40,-2.612,50D,Pass2,22-11-10,CAEN,-0.41,31560,OK,22/12/21,3,OK,UM BIS5C14 
6625,MSU07234,IHEP,2022-10-31,0.00E+00,0.00,PASS,23-01-09,1624.71,94.7,360.454,pass,B,-0.40,2.584,18D,Pass2,23-01-06,CAEN,-0.02,42883,OK,23/01/09,1,YES,UM BIS6C02 
6626,MSU07235,IHEP,2022-11-02,0.00E+00,0.00,PASS,22-12-21,1624.72,92.3,342.855,pass,B,0.50,-3.127,48D,Pass2,22-11-10,CAEN,0.48,57504,OK,22/12/21,3,YES,UM BIS5A16 
6627,MSU07236,IHEP,2022-11-02,0.00E+00,0.00,PASS,22-11-17,1624.73,93.7,352.879,pass,B,0.10,-0.603,15D,Pass2,22-11-10,CAEN,0.52,57505,OK,22/11/17,4,OK,UM BIS5C14 
