,Date,ID,ndc
0,2022-06-28,MSU18008,2
1,2022-06-28,MSU17842,2
2,2022-06-28,MSU17233,1
3,2022-06-28,MSU17445,1
4,2022-06-28,MSU16397,1
5,2022-06-28,MSU17865,2
6,2022-06-28,MSU17544,1
7,2022-06-28,MSU17885,2
8,2022-06-28,MSU17305,1
9,2022-06-28,MSU16172,1
10,2022-06-28,MSU17259,1
11,2022-06-28,MSU17065,1
12,2022-06-28,MSU17506,1
13,2022-06-28,MSU17319,1
14,2022-06-28,MSU17450,1
15,2022-06-28,MSU16773,1
16,2022-06-28,MSU17280,1
17,2022-06-28,MSU16868,2
18,2022-06-28,MSU17224,1
19,2022-06-28,MSU17846,1
20,2022-06-28,MSU17862,2
21,2022-06-28,MSU17938,1
22,2022-06-28,MSU17232,2
23,2022-06-28,MSU17263,1
24,2022-06-28,MSU17930,1
25,2022-06-28,MSU17926,1
26,2022-06-28,MSU17839,1
27,2022-06-28,MSU17848,1
28,2022-06-28,MSU17345,1
29,2022-06-28,MSU17937,2
30,2022-06-28,MSU17235,2
31,2022-06-28,MSU17343,1
32,2022-06-28,MSU17261,1
33,2022-06-28,MSU17270,1
34,2022-06-28,MSU17290,1
35,2022-06-28,MSU17924,2
36,2022-06-28,MSU17916,2
37,2022-06-28,MSU17948,1
38,2022-06-28,MSU17294,1
39,2022-06-28,MSU17427,1
40,2022-06-28,MSU18067,1
41,2022-06-28,MSU17221,1
42,2022-06-28,MSU17761,1
43,2022-06-28,MSU17265,2
44,2022-06-28,MSU17223,2
45,2022-06-28,MSU17271,1
46,2022-06-28,MSU17227,1
47,2022-06-28,MSU16509,3
48,2022-06-16,MSU17626,2
49,2022-06-09,MSU17685,3
50,2022-06-16,MSU17720,2
51,2022-06-09,MSU15487,4
52,2022-06-16,MSU17739,2
53,2022-06-09,MSU17787,6
54,2022-05-03,MSU17091,2
55,2022-06-16,MSU17747,3
56,2022-06-16,MSU17468,4
57,2022-04-26,MSU16347,3
58,2022-06-16,MSU17576,2
59,2022-06-16,MSU17710,4
60,2022-06-16,MSU17638,6
61,2022-06-28,MSU17449,2
62,2022-06-21,MSU17239,2
63,2022-06-21,MSU17923,2
64,2022-06-21,MSU17401,2
65,2022-06-21,MSU17333,2
66,2022-06-21,MSU17373,2
67,2022-06-21,MSU17283,2
68,2022-06-28,MSU17662,2
69,2022-06-21,MSU17439,2
70,2022-06-21,MSU17329,2
71,2022-06-21,MSU17309,2
72,2022-06-21,MSU17315,2
73,2022-06-21,MSU17550,2
74,2022-06-21,MSU17282,3
75,2022-06-21,MSU17514,2
76,2022-06-21,MSU17440,2
77,2022-06-21,MSU17363,2
78,2022-06-21,MSU17231,2
79,2022-06-21,MSU17936,2
80,2022-06-21,MSU17323,2
81,2022-06-21,MSU17296,3
82,2022-06-21,MSU17512,3
83,2022-06-21,MSU17417,2
84,2022-06-21,MSU17246,2
85,2022-06-21,MSU17379,4
86,2022-06-21,MSU17480,2
87,2022-06-21,MSU17337,2
88,2022-06-21,MSU17451,2
89,2022-06-21,MSU17352,2
90,2022-06-21,MSU17428,2
91,2022-06-21,MSU17486,3
92,2022-06-21,MSU17555,2
93,2022-06-21,MSU17303,2
94,2022-06-21,MSU17289,2
95,2022-06-28,MSU17721,2
96,2022-06-28,MSU16389,1
97,2022-06-28,MSU17325,1
98,2022-06-28,MSU17421,1
99,2022-06-28,MSU18034,2
100,2022-06-28,MSU18033,1
101,2022-06-28,MSU18068,1
102,2022-06-28,MSU17113,1
103,2022-06-28,MSU17139,2
104,2022-06-28,MSU17058,1
105,2022-06-28,MSU17527,1
106,2022-06-28,MSU16790,1
107,2022-06-28,MSU15836,1
108,2022-06-28,MSU17396,2
109,2022-06-28,MSU16469,1
110,2022-06-28,MSU17933,1
111,2022-06-28,MSU17541,1
112,2022-06-28,MSU17660,1
113,2022-06-28,MSU17551,1
114,2022-06-28,MSU17864,2
115,2022-06-28,MSU17241,1
116,2022-06-28,MSU18065,1
117,2022-06-28,MSU17935,2
118,2022-06-28,MSU17429,1
119,2022-06-28,MSU17407,1
120,2022-06-28,MSU17925,2
121,2022-06-28,MSU17758,2
122,2022-06-28,MSU17242,1
123,2022-06-28,MSU17332,1
124,2022-06-28,MSU17302,1
125,2022-06-28,MSU17262,1
126,2022-06-28,MSU17286,1
127,2022-06-28,MSU16495,1
128,2022-06-28,MSU18056,1
129,2022-06-28,MSU18044,1
130,2022-06-28,MSU18038,1
131,2022-06-28,MSU18029,1
132,2022-06-28,MSU18075,1
133,2022-06-28,MSU18032,1
134,2022-06-28,MSU18074,2
135,2022-06-28,MSU18036,1
136,2022-06-28,MSU16472,1
137,2022-06-28,MSU18041,1
138,2022-06-21,MSU17419,2
139,2022-06-09,MSU15124,4
140,2022-06-21,MSU17219,4
141,2022-06-09,MSU17664,4
142,2022-06-21,MSU17269,2
143,2022-06-21,MSU17831,2
144,2022-06-21,MSU17301,2
145,2022-06-09,MSU17763,6
146,2022-06-16,MSU15422,3
147,2022-06-16,MSU17459,3
148,2022-06-16,MSU17619,3
149,2022-06-09,MSU17811,3
150,2022-06-16,MSU17596,3
151,2022-06-21,MSU17355,2
152,2022-04-26,MSU16846,2
153,2022-06-21,MSU17461,2
154,2022-06-21,MSU17339,2
155,2022-05-31,MSU16792,3
156,2022-05-31,MSU16687,3
157,2022-05-31,MSU16341,4
158,2022-05-31,MSU16952,3
159,2022-05-03,MSU16430,2
160,2022-06-09,MSU17618,3
161,2022-05-31,MSU17016,4
162,2022-05-31,MSU16899,3
163,2022-06-28,MSU17399,1
164,2022-06-28,MSU17949,2
165,2022-06-28,MSU17413,1
166,2022-06-28,MSU17287,1
167,2022-06-28,MSU17284,1
168,2022-06-28,MSU17278,1
169,2022-06-28,MSU17264,1
170,2022-06-28,MSU17255,1
171,2022-06-28,MSU15259,1
172,2022-07-07,MSU17326,1
173,2022-06-28,MSU17243,2
174,2022-06-28,MSU17304,1
175,2022-06-28,MSU17222,1
176,2022-06-28,MSU17300,2
177,2022-06-28,MSU17350,1
178,2022-06-28,MSU16871,1
179,2022-06-28,MSU17119,1
180,2022-06-28,MSU17866,1
181,2022-06-28,MSU17254,1
182,2022-06-28,MSU15455,1
183,2022-06-28,MSU17434,1
184,2022-06-28,MSU17251,1
185,2022-06-28,MSU17256,1
186,2022-06-28,MSU17915,1
187,2022-06-28,MSU17931,1
188,2022-06-28,MSU17920,1
189,2022-06-28,MSU17859,1
190,2022-06-28,MSU17218,1
191,2022-06-28,MSU17252,1
192,2022-06-28,MSU17950,1
193,2022-06-28,MSU17291,1
194,2022-06-28,MSU18060,2
195,2022-06-28,MSU17488,1
196,2022-06-28,MSU18070,1
197,2022-06-28,MSU17067,1
198,2022-06-28,MSU17929,1
199,2022-06-28,MSU17047,1
200,2022-06-28,MSU15476,1
201,2022-06-28,MSU15151,2
202,2022-06-28,MSU16364,2
203,2022-06-28,MSU17941,2
204,2022-06-28,MSU18024,2
205,2022-06-28,MSU17732,2
206,2022-06-28,MSU16407,2
207,2022-06-28,MSU17457,2
208,2022-06-28,MSU17844,2
209,2022-06-28,MSU17009,2
210,2022-06-09,MSU15233,1
211,2022-06-09,MSU15245,1
212,2022-06-21,MSU17381,2
213,2022-06-21,MSU17611,2
214,2022-06-21,MSU17940,2
215,2022-06-21,MSU17338,2
216,2022-06-21,MSU17487,2
217,2022-06-21,MSU17442,2
218,2022-06-21,MSU17285,2
219,2022-06-21,MSU17743,2
220,2022-06-21,MSU17258,2
221,2022-06-21,MSU17297,2
222,2022-06-21,MSU17321,2
223,2022-06-21,MSU17266,2
224,2022-06-21,MSU16324,2
225,2022-06-21,MSU17272,2
226,2022-06-21,MSU17825,2
227,2022-06-21,MSU17322,2
228,2022-06-21,MSU17274,2
229,2022-06-21,MSU17298,2
230,2022-06-21,MSU17358,2
231,2022-06-09,MSU17621,1
232,2022-06-21,MSU17518,2
233,2022-06-21,MSU17845,2
234,2022-06-21,MSU17928,2
235,2022-06-21,MSU17310,2
236,2022-06-21,MSU17346,2
237,2022-06-21,MSU17216,2
238,2022-06-21,MSU17351,2
239,2022-06-21,MSU17542,2
240,2022-06-21,MSU17250,2
241,2022-07-07,MSU17997,1
242,2022-07-07,MSU17595,3
243,2022-07-07,MSU13019,1
244,2022-07-07,MSU17872,1
245,2022-07-07,MSU15271,1
246,2022-07-07,MSU15065,5
247,2022-07-07,MSU18027,1
248,2022-07-07,MSU17939,2
249,2022-07-07,MSU17205,1
250,2022-07-07,MSU17745,2
251,2022-07-07,MSU18050,1
252,2022-07-07,MSU17841,3
253,2022-07-07,MSU15063,1
254,2022-07-07,MSU15047,2
255,2022-07-07,MSU17946,1
256,2022-07-07,MSU17566,1
257,2022-07-07,MSU17059,2
258,2022-07-07,MSU17365,2
259,2022-07-07,MSU17613,1
260,2022-07-07,MSU17625,2
261,2022-07-07,MSU17320,1
262,2022-07-07,MSU17418,1
263,2022-07-07,MSU17529,2
264,2022-07-07,MSU17560,1
265,2022-07-07,MSU17588,2
266,2022-07-07,MSU17591,2
267,2022-07-07,MSU17412,1
268,2022-07-07,MSU17598,1
269,2022-07-07,MSU17729,1
270,2022-07-07,MSU16822,1
271,2022-07-07,MSU17603,2
